STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
34,041,031101,34041031101,5988,2279,P,136288276,131340736,42,089,300501,42089300501,3343,1960,P,37471203,35753921,13522,1957,0.01,0.00,0.04,0.01,0,0.00,0.00,0,0.00,0.00
34,041,031200,34041031200,7937,3171,P,145210462,142406700,42,095,018300,42095018300,4859,1992,P,64510347,61621665,111762,51167,0.08,0.04,0.17,0.08,0,0.00,0.00,0,0.00,0.00
36,013,036700,36013036700,4257,1900,P,281883411,281254093,42,049,011802,42049011802,3221,1331,P,188549612,188170773,3036,3036,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
36,101,963000,36101963000,4146,1698,P,196501576,194675510,42,117,950100,42117950100,4186,1899,P,196105513,196033132,6783,6783,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
39,155,931400,39155931400,4590,2230,P,15755426,15709313,42,085,030100,42085030100,2100,1033,P,1256204,1256204,4115,4115,0.03,0.03,0.33,0.33,0,0.00,0.00,0,0.00,0.00
42,001,030101,42001030101,2653,1055,P,55866478,54933423,42,001,030101,42001030101,2580,1028,P,55655029,54751241,55651843,54748055,99.62,99.66,99.99,99.99,2579,97.21,99.96,1027,97.35,99.90
42,001,030101,42001030101,2653,1055,P,55866478,54933423,42,001,030102,42001030102,5780,2244,P,69261923,68153470,29267,0,0.05,0.00,0.04,0.00,0,0.00,0.00,0,0.00,0.00
42,001,030101,42001030101,2653,1055,P,55866478,54933423,42,001,030200,42001030200,5500,2167,P,121520610,121160530,184914,184914,0.33,0.34,0.15,0.15,74,2.79,1.35,28,2.65,1.29
42,001,030101,42001030101,2653,1055,P,55866478,54933423,42,133,020410,42133020410,5167,2193,P,50471148,50356040,454,454,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
42,001,030102,42001030102,5780,2244,P,69687083,68159188,42,001,030102,42001030102,5780,2244,P,69261923,68153470,69232656,68153470,99.35,99.99,99.96,100.00,5780,100.00,100.00,2244,100.00,100.00
